epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,4138.66,1.01254,0.61019,0.0115,0.92057,0.82511,0.90431,0.55695,1.37503,0.69162,0.01712,0.000416715,0.000416715,0.000416715
157,4156.68,1.01124,0.60722,0.0113,0.90657,0.81839,0.89809,0.55464,1.38278,0.67003,0.01757,0.000405459,0.000405459,0.000405459
158,4174.93,1.01584,0.63393,0.01145,0.91794,0.81839,0.9012,0.55244,1.37834,0.65841,0.01723,0.000394325,0.000394325,0.000394325
159,4193.44,1.01199,0.61877,0.01128,0.92714,0.82746,0.90715,0.56264,1.36051,0.65817,0.0169,0.000383318,0.000383318,0.000383318
160,4212.35,1.0178,0.59968,0.01148,0.90367,0.82033,0.90522,0.56437,1.3684,0.67483,0.01717,0.000372438,0.000372438,0.000372438
161,4238.32,0.99434,0.6119,0.01137,0.92392,0.80493,0.90014,0.57138,1.34427,0.68182,0.017,0.000361688,0.000361688,0.000361688
162,4265.84,1.00241,0.60481,0.01103,0.9125,0.82511,0.90101,0.55969,1.36846,0.66744,0.01735,0.00035107,0.00035107,0.00035107
163,4289.47,1.00902,0.58743,0.01121,0.90932,0.83188,0.90195,0.56427,1.38069,0.65178,0.01741,0.000340587,0.000340587,0.000340587
164,4307.37,0.98747,0.59654,0.01128,0.90439,0.83184,0.9034,0.56539,1.3605,0.68083,0.01726,0.00033024,0.00033024,0.00033024
165,4325.21,0.99473,0.6116,0.01107,0.90651,0.82615,0.89961,0.55868,1.35896,0.6915,0.01712,0.000320032,0.000320032,0.000320032
166,4343.07,0.97035,0.57938,0.01098,0.90015,0.84081,0.90326,0.55885,1.36295,0.65799,0.01726,0.000309964,0.000309964,0.000309964
167,4360.94,1.00394,0.58866,0.01092,0.89102,0.84329,0.90786,0.56331,1.33477,0.65633,0.01691,0.00030004,0.00030004,0.00030004
168,4378.83,0.99817,0.5782,0.0113,0.89959,0.84371,0.90192,0.56019,1.35604,0.67969,0.01701,0.00029026,0.00029026,0.00029026
169,4396.71,0.98752,0.59591,0.01092,0.92729,0.8292,0.90038,0.55929,1.34889,0.66309,0.01707,0.000280626,0.000280626,0.000280626
170,4414.55,0.9924,0.57679,0.01116,0.92686,0.8296,0.90701,0.5652,1.34533,0.65226,0.01702,0.000271142,0.000271142,0.000271142
171,4432.41,0.9843,0.5696,0.01114,0.90243,0.85202,0.90847,0.56616,1.36022,0.66879,0.01745,0.000261808,0.000261808,0.000261808
172,4450.23,0.97684,0.58446,0.01071,0.9219,0.84305,0.90493,0.56466,1.36535,0.64104,0.01695,0.000252627,0.000252627,0.000252627
173,4468.05,0.98871,0.59428,0.01078,0.90655,0.84305,0.90653,0.55805,1.37054,0.68048,0.01732,0.0002436,0.0002436,0.0002436
174,4485.86,0.96989,0.57043,0.01076,0.92406,0.84573,0.90503,0.55884,1.36547,0.66674,0.01722,0.000234729,0.000234729,0.000234729
175,4503.77,0.96299,0.56994,0.01064,0.89961,0.84529,0.8992,0.56208,1.35493,0.68058,0.01708,0.000226017,0.000226017,0.000226017
176,4521.62,0.98725,0.56283,0.01113,0.90582,0.81614,0.88944,0.55368,1.37263,0.68766,0.01739,0.000217464,0.000217464,0.000217464
